Year,StockKeyLabel,FisheriesGuild,F,SSB,fishingPressureDescription,stockSizeDescription,landings,catches,discards,AssessmentYear,Flim,Fpa,Bpa,Blim,FMSY,MSYBtrigger
1970,bll.27.22-32,benthic,NA,NA,NA,Density Index,4,NA,NA,2017,NA,NA,NA,NA,NA,NA
1971,bll.27.22-32,benthic,NA,NA,NA,Density Index,3,NA,NA,2017,NA,NA,NA,NA,NA,NA
1972,bll.27.22-32,benthic,NA,NA,NA,Density Index,7,NA,NA,2017,NA,NA,NA,NA,NA,NA
1973,bll.27.22-32,benthic,NA,NA,NA,Density Index,13,NA,NA,2017,NA,NA,NA,NA,NA,NA
1974,bll.27.22-32,benthic,NA,NA,NA,Density Index,26,NA,NA,2017,NA,NA,NA,NA,NA,NA
1975,bll.27.22-32,benthic,NA,NA,NA,Density Index,40,NA,NA,2017,NA,NA,NA,NA,NA,NA
1976,bll.27.22-32,benthic,NA,NA,NA,Density Index,48,NA,NA,2017,NA,NA,NA,NA,NA,NA
1977,bll.27.22-32,benthic,NA,NA,NA,Density Index,67,NA,NA,2017,NA,NA,NA,NA,NA,NA
1978,bll.27.22-32,benthic,NA,NA,NA,Density Index,40,NA,NA,2017,NA,NA,NA,NA,NA,NA
1979,bll.27.22-32,benthic,NA,NA,NA,Density Index,30,NA,NA,2017,NA,NA,NA,NA,NA,NA
1980,bll.27.22-32,benthic,NA,NA,NA,Density Index,26,NA,NA,2017,NA,NA,NA,NA,NA,NA
1981,bll.27.22-32,benthic,NA,NA,NA,Density Index,23,NA,NA,2017,NA,NA,NA,NA,NA,NA
1982,bll.27.22-32,benthic,NA,NA,NA,Density Index,36,NA,NA,2017,NA,NA,NA,NA,NA,NA
1983,bll.27.22-32,benthic,NA,NA,NA,Density Index,55,NA,NA,2017,NA,NA,NA,NA,NA,NA
1984,bll.27.22-32,benthic,NA,NA,NA,Density Index,15,NA,NA,2017,NA,NA,NA,NA,NA,NA
1985,bll.27.22-32,benthic,NA,NA,NA,Density Index,17,NA,NA,2017,NA,NA,NA,NA,NA,NA
1986,bll.27.22-32,benthic,NA,NA,NA,Density Index,18,NA,NA,2017,NA,NA,NA,NA,NA,NA
1987,bll.27.22-32,benthic,NA,NA,NA,Density Index,15,NA,NA,2017,NA,NA,NA,NA,NA,NA
1988,bll.27.22-32,benthic,NA,NA,NA,Density Index,6,NA,NA,2017,NA,NA,NA,NA,NA,NA
1989,bll.27.22-32,benthic,NA,NA,NA,Density Index,10,NA,NA,2017,NA,NA,NA,NA,NA,NA
1990,bll.27.22-32,benthic,NA,NA,NA,Density Index,1,NA,NA,2017,NA,NA,NA,NA,NA,NA
1991,bll.27.22-32,benthic,NA,NA,NA,Density Index,15,NA,NA,2017,NA,NA,NA,NA,NA,NA
1992,bll.27.22-32,benthic,NA,NA,NA,Density Index,28,NA,NA,2017,NA,NA,NA,NA,NA,NA
1993,bll.27.22-32,benthic,NA,NA,NA,Density Index,35,NA,NA,2017,NA,NA,NA,NA,NA,NA
1994,bll.27.22-32,benthic,NA,NA,NA,Density Index,63,NA,NA,2017,NA,NA,NA,NA,NA,NA
1995,bll.27.22-32,benthic,NA,NA,NA,Density Index,160,NA,NA,2017,NA,NA,NA,NA,NA,NA
1996,bll.27.22-32,benthic,NA,NA,NA,Density Index,62,NA,NA,2017,NA,NA,NA,NA,NA,NA
1997,bll.27.22-32,benthic,NA,NA,NA,Density Index,26,NA,NA,2017,NA,NA,NA,NA,NA,NA
1998,bll.27.22-32,benthic,NA,NA,NA,Density Index,22,NA,NA,2017,NA,NA,NA,NA,NA,NA
1999,bll.27.22-32,benthic,NA,NA,NA,Density Index,25,NA,NA,2017,NA,NA,NA,NA,NA,NA
2000,bll.27.22-32,benthic,NA,NA,NA,Density Index,28,NA,NA,2017,NA,NA,NA,NA,NA,NA
2001,bll.27.22-32,benthic,NA,0.55,NA,Density Index,19,NA,NA,2017,NA,NA,NA,NA,NA,NA
2002,bll.27.22-32,benthic,NA,0.3,NA,Density Index,27,NA,NA,2017,NA,NA,NA,NA,NA,NA
2003,bll.27.22-32,benthic,NA,0.36,NA,Density Index,36,NA,NA,2017,NA,NA,NA,NA,NA,NA
2004,bll.27.22-32,benthic,NA,1.11,NA,Density Index,41,NA,NA,2017,NA,NA,NA,NA,NA,NA
2005,bll.27.22-32,benthic,NA,0.79,NA,Density Index,62,NA,NA,2017,NA,NA,NA,NA,NA,NA
2006,bll.27.22-32,benthic,NA,1.97,NA,Density Index,56,NA,NA,2017,NA,NA,NA,NA,NA,NA
2007,bll.27.22-32,benthic,NA,1.13,NA,Density Index,56,NA,NA,2017,NA,NA,NA,NA,NA,NA
2008,bll.27.22-32,benthic,NA,1.36,NA,Density Index,105,NA,NA,2017,NA,NA,NA,NA,NA,NA
2009,bll.27.22-32,benthic,NA,0.86,NA,Density Index,92,NA,NA,2017,NA,NA,NA,NA,NA,NA
2010,bll.27.22-32,benthic,NA,2.27,NA,Density Index,82,NA,NA,2017,NA,NA,NA,NA,NA,NA
2011,bll.27.22-32,benthic,NA,2.79,NA,Density Index,57,NA,NA,2017,NA,NA,NA,NA,NA,NA
2012,bll.27.22-32,benthic,NA,0.98,NA,Density Index,31,NA,0,2017,NA,NA,NA,NA,NA,NA
2013,bll.27.22-32,benthic,NA,1.36,NA,Density Index,31,NA,1,2017,NA,NA,NA,NA,NA,NA
2014,bll.27.22-32,benthic,NA,1.3,NA,Density Index,28,NA,4,2017,NA,NA,NA,NA,NA,NA
2015,bll.27.22-32,benthic,NA,0.85,NA,Density Index,40,NA,0,2017,NA,NA,NA,NA,NA,NA
2016,bll.27.22-32,benthic,NA,1,NA,Density Index,39,NA,0,2017,NA,NA,NA,NA,NA,NA
1985,cod.27.22-24,demersal,1.334,30167,F,SSB,33188,35262,NA,2019,1.45,0.99,21876,14500,0.26,21876
1986,cod.27.22-24,demersal,1.249,18852,F,SSB,20088,22166,NA,2019,1.45,0.99,21876,14500,0.26,21876
1987,cod.27.22-24,demersal,1.144,17492,F,SSB,21692,23773,NA,2019,1.45,0.99,21876,14500,0.26,21876
1988,cod.27.22-24,demersal,1.121,21628,F,SSB,20672,22755,NA,2019,1.45,0.99,21876,14500,0.26,21876
1989,cod.27.22-24,demersal,1.012,15794,F,SSB,12795,14878,NA,2019,1.45,0.99,21876,14500,0.26,21876
1990,cod.27.22-24,demersal,1.149,12279,F,SSB,12237,14321,NA,2019,1.45,0.99,21876,14500,0.26,21876
1991,cod.27.22-24,demersal,1.3,9710,F,SSB,12931,15019,NA,2019,1.45,0.99,21876,14500,0.26,21876
1992,cod.27.22-24,demersal,1.344,9547,F,SSB,15672,18091,NA,2019,1.45,0.99,21876,14500,0.26,21876
1993,cod.27.22-24,demersal,1.18,13817,F,SSB,11815,14567,NA,2019,1.45,0.99,21876,14500,0.26,21876
1994,cod.27.22-24,demersal,1.073,24937,F,SSB,16642,21344,1614,2019,1.45,0.99,21876,14500,0.26,21876
1995,cod.27.22-24,demersal,1.282,29086,F,SSB,28310,34743,3016,2019,1.45,0.99,21876,14500,0.26,21876
1996,cod.27.22-24,demersal,1.139,35958,F,SSB,38505,48791,6868,2019,1.45,0.99,21876,14500,0.26,21876
1997,cod.27.22-24,demersal,1.147,40762,F,SSB,37077,44477,3981,2019,1.45,0.99,21876,14500,0.26,21876
1998,cod.27.22-24,demersal,1.124,27947,F,SSB,29634,38620,5575,2019,1.45,0.99,21876,14500,0.26,21876
1999,cod.27.22-24,demersal,1.331,33310,F,SSB,35934,43729,4378,2019,1.45,0.99,21876,14500,0.26,21876
2000,cod.27.22-24,demersal,1.282,33990,F,SSB,31132,38302,3738,2019,1.45,0.99,21876,14500,0.26,21876
2001,cod.27.22-24,demersal,1.381,28683,F,SSB,27781,33657,2449,2019,1.45,0.99,21876,14500,0.26,21876
2002,cod.27.22-24,demersal,1.334,25137,F,SSB,20410,25242,1395,2019,1.45,0.99,21876,14500,0.26,21876
2003,cod.27.22-24,demersal,1.164,20519,F,SSB,17205,24126,3473,2019,1.45,0.99,21876,14500,0.26,21876
2004,cod.27.22-24,demersal,1.145,23390,F,SSB,17686,23320,2189,2019,1.45,0.99,21876,14500,0.26,21876
2005,cod.27.22-24,demersal,1.082,26537,F,SSB,18493,25529,3265,2019,1.45,0.99,21876,14500,0.26,21876
2006,cod.27.22-24,demersal,0.833,27471,F,SSB,18503,23113,1686,2019,1.45,0.99,21876,14500,0.26,21876
2007,cod.27.22-24,demersal,0.892,28691,F,SSB,17384,21491,1325,2019,1.45,0.99,21876,14500,0.26,21876
2008,cod.27.22-24,demersal,0.97,21230,F,SSB,11302,14677,336,2019,1.45,0.99,21876,14500,0.26,21876
2009,cod.27.22-24,demersal,1.047,15546,F,SSB,7313,10313,351,2019,1.45,0.99,21876,14500,0.26,21876
2010,cod.27.22-24,demersal,1.088,14459,F,SSB,8007,12212,838,2019,1.45,0.99,21876,14500,0.26,21876
2011,cod.27.22-24,demersal,0.971,13529,F,SSB,9107,12001,299,2019,1.45,0.99,21876,14500,0.26,21876
2012,cod.27.22-24,demersal,0.872,16711,F,SSB,8622,12653,370,2019,1.45,0.99,21876,14500,0.26,21876
2013,cod.27.22-24,demersal,1.128,14076,F,SSB,7697,11811,1007,2019,1.45,0.99,21876,14500,0.26,21876
2014,cod.27.22-24,demersal,0.939,15775,F,SSB,8083,12963,837,2019,1.45,0.99,21876,14500,0.26,21876
2015,cod.27.22-24,demersal,0.882,17368,F,SSB,8390,13390,432,2019,1.45,0.99,21876,14500,0.26,21876
2016,cod.27.22-24,demersal,0.8,13679,F,SSB,6122,9770,143,2019,1.45,0.99,21876,14500,0.26,21876
2017,cod.27.22-24,demersal,0.561,11374,F,SSB,3852,5356,180,2019,1.45,0.99,21876,14500,0.26,21876
2018,cod.27.22-24,demersal,0.374,14509,F,SSB,3546,5312,157,2019,1.45,0.99,21876,14500,0.26,21876
2019,cod.27.22-24,demersal,NA,21297,F,SSB,NA,NA,NA,2019,1.45,0.99,21876,14500,0.26,21876
1946,cod.27.24-32,demersal,0.41,61032,F,SSB,40985,NA,NA,2019,NA,NA,108035,96550,NA,NA
1947,cod.27.24-32,demersal,0.52,80827,F,SSB,71831,NA,NA,2019,NA,NA,108035,96550,NA,NA
1948,cod.27.24-32,demersal,0.59,104117,F,SSB,107104,NA,NA,2019,NA,NA,108035,96550,NA,NA
1949,cod.27.24-32,demersal,0.57,112508,F,SSB,112735,NA,NA,2019,NA,NA,108035,96550,NA,NA
1950,cod.27.24-32,demersal,0.6,118593,F,SSB,124509,NA,NA,2019,NA,NA,108035,96550,NA,NA
1951,cod.27.24-32,demersal,0.6,130709,F,SSB,137815,NA,NA,2019,NA,NA,108035,96550,NA,NA
1952,cod.27.24-32,demersal,0.67,134205,F,SSB,161103,NA,NA,2019,NA,NA,108035,96550,NA,NA
1953,cod.27.24-32,demersal,0.49,140002,F,SSB,118132,NA,NA,2019,NA,NA,108035,96550,NA,NA
1954,cod.27.24-32,demersal,0.53,134379,F,SSB,123947,NA,NA,2019,NA,NA,108035,96550,NA,NA
1955,cod.27.24-32,demersal,0.49,135899,F,SSB,114415,NA,NA,2019,NA,NA,108035,96550,NA,NA
1956,cod.27.24-32,demersal,0.61,140676,F,SSB,151985,NA,NA,2019,NA,NA,108035,96550,NA,NA
1957,cod.27.24-32,demersal,0.75,132041,F,SSB,181366,NA,NA,2019,NA,NA,108035,96550,NA,NA
1958,cod.27.24-32,demersal,0.65,116992,F,SSB,136301,NA,NA,2019,NA,NA,108035,96550,NA,NA
1959,cod.27.24-32,demersal,0.7,98892,F,SSB,126033,NA,NA,2019,NA,NA,108035,96550,NA,NA
1960,cod.27.24-32,demersal,0.92,83536,F,SSB,145408,NA,NA,2019,NA,NA,108035,96550,NA,NA
1961,cod.27.24-32,demersal,0.74,82647,F,SSB,112034,NA,NA,2019,NA,NA,108035,96550,NA,NA
1962,cod.27.24-32,demersal,0.75,84913,F,SSB,115553,NA,NA,2019,NA,NA,108035,96550,NA,NA
1963,cod.27.24-32,demersal,0.8,82716,F,SSB,123047,NA,NA,2019,NA,NA,108035,96550,NA,NA
1964,cod.27.24-32,demersal,0.62,89835,F,SSB,97788,NA,NA,2019,NA,NA,108035,96550,NA,NA
1965,cod.27.24-32,demersal,0.6,104057,F,SSB,109809,NA,NA,2019,NA,NA,108035,96550,NA,NA
1966,cod.27.24-32,demersal,0.91,114848,F,SSB,177318,NA,8735,2019,NA,NA,108035,96550,NA,NA
1967,cod.27.24-32,demersal,0.87,134457,F,SSB,195446,NA,11733,2019,NA,NA,108035,96550,NA,NA
1968,cod.27.24-32,demersal,0.9,140536,F,SSB,216353,NA,9700,2019,NA,NA,108035,96550,NA,NA
1969,cod.27.24-32,demersal,0.89,137015,F,SSB,212160,NA,10654,2019,NA,NA,108035,96550,NA,NA
1970,cod.27.24-32,demersal,0.88,128210,F,SSB,198451,NA,7625,2019,NA,NA,108035,96550,NA,NA
1971,cod.27.24-32,demersal,0.8,119046,F,SSB,164840,NA,5426,2019,NA,NA,108035,96550,NA,NA
1972,cod.27.24-32,demersal,0.73,119948,F,SSB,143833,NA,8490,2019,NA,NA,108035,96550,NA,NA
1973,cod.27.24-32,demersal,0.63,141644,F,SSB,143164,NA,7491,2019,NA,NA,108035,96550,NA,NA
1974,cod.27.24-32,demersal,0.5,193900,F,SSB,147815,NA,7933,2019,NA,NA,108035,96550,NA,NA
1975,cod.27.24-32,demersal,0.51,243042,F,SSB,194649,NA,9576,2019,NA,NA,108035,96550,NA,NA
1976,cod.27.24-32,demersal,0.5,242977,F,SSB,203303,NA,4341,2019,NA,NA,108035,96550,NA,NA
1977,cod.27.24-32,demersal,0.41,249828,F,SSB,164792,NA,2978,2019,NA,NA,108035,96550,NA,NA
1978,cod.27.24-32,demersal,0.34,309156,F,SSB,154009,NA,9875,2019,NA,NA,108035,96550,NA,NA
1979,cod.27.24-32,demersal,0.38,406198,F,SSB,227699,NA,14576,2019,NA,NA,108035,96550,NA,NA
1980,cod.27.24-32,demersal,0.48,455714,F,SSB,347619,NA,8544,2019,NA,NA,108035,96550,NA,NA
1981,cod.27.24-32,demersal,0.48,420481,F,SSB,331642,NA,6185,2019,NA,NA,108035,96550,NA,NA
1982,cod.27.24-32,demersal,0.46,445574,F,SSB,316052,NA,11548,2019,NA,NA,108035,96550,NA,NA
1983,cod.27.24-32,demersal,0.46,442740,F,SSB,332148,NA,10998,2019,NA,NA,108035,96550,NA,NA
1984,cod.27.24-32,demersal,0.61,376271,F,SSB,391952,NA,8521,2019,NA,NA,108035,96550,NA,NA
1985,cod.27.24-32,demersal,0.65,281995,F,SSB,315083,NA,8199,2019,NA,NA,108035,96550,NA,NA
1986,cod.27.24-32,demersal,0.72,194991,F,SSB,252558,NA,3848,2019,NA,NA,108035,96550,NA,NA
1987,cod.27.24-32,demersal,0.78,150537,F,SSB,207081,NA,9340,2019,NA,NA,108035,96550,NA,NA
1988,cod.27.24-32,demersal,0.8,143167,F,SSB,194787,NA,7253,2019,NA,NA,108035,96550,NA,NA
1989,cod.27.24-32,demersal,0.8,119913,F,SSB,179178,NA,3462,2019,NA,NA,108035,96550,NA,NA
1990,cod.27.24-32,demersal,0.93,90482,F,SSB,153546,NA,4187,2019,NA,NA,108035,96550,NA,NA
1991,cod.27.24-32,demersal,1.04,58079,F,SSB,122517,NA,2741,2019,NA,NA,108035,96550,NA,NA
1992,cod.27.24-32,demersal,0.55,61425,F,SSB,54882,NA,1904,2019,NA,NA,108035,96550,NA,NA
1993,cod.27.24-32,demersal,0.35,103948,F,SSB,50711,NA,1558,2019,NA,NA,108035,96550,NA,NA
1994,cod.27.24-32,demersal,0.54,120851,F,SSB,100856,NA,1956,2019,NA,NA,108035,96550,NA,NA
1995,cod.27.24-32,demersal,0.55,131360,F,SSB,107718,NA,1872,2019,NA,NA,108035,96550,NA,NA
1996,cod.27.24-32,demersal,0.85,92747,F,SSB,124189,NA,1443,2019,NA,NA,108035,96550,NA,NA
1997,cod.27.24-32,demersal,0.92,62171,F,SSB,88600,NA,3462,2019,NA,NA,108035,96550,NA,NA
1998,cod.27.24-32,demersal,0.88,55596,F,SSB,67428,NA,2299,2019,NA,NA,108035,96550,NA,NA
1999,cod.27.24-32,demersal,0.94,52238,F,SSB,72995,NA,1838,2019,NA,NA,108035,96550,NA,NA
2000,cod.27.24-32,demersal,1.04,61539,F,SSB,89289,NA,6019,2019,NA,NA,108035,96550,NA,NA
2001,cod.27.24-32,demersal,1.03,73925,F,SSB,91328,NA,2891,2019,NA,NA,108035,96550,NA,NA
2002,cod.27.24-32,demersal,0.73,83271,F,SSB,67740,NA,1462,2019,NA,NA,108035,96550,NA,NA
2003,cod.27.24-32,demersal,0.74,85560,F,SSB,69477,NA,2024,2019,NA,NA,108035,96550,NA,NA
2004,cod.27.24-32,demersal,0.76,74394,F,SSB,68578,NA,1201,2019,NA,NA,108035,96550,NA,NA
2005,cod.27.24-32,demersal,0.6,91596,F,SSB,55032,NA,1670,2019,NA,NA,108035,96550,NA,NA
2006,cod.27.24-32,demersal,0.67,91172,F,SSB,65531,NA,4644,2019,NA,NA,108035,96550,NA,NA
2007,cod.27.24-32,demersal,0.55,88455,F,SSB,50843,NA,4146,2019,NA,NA,108035,96550,NA,NA
2008,cod.27.24-32,demersal,0.42,123707,F,SSB,42234,NA,3746,2019,NA,NA,108035,96550,NA,NA
2009,cod.27.24-32,demersal,0.4,134370,F,SSB,48438,NA,3328,2019,NA,NA,108035,96550,NA,NA
2010,cod.27.24-32,demersal,0.39,135445,F,SSB,50276,NA,3543,2019,NA,NA,108035,96550,NA,NA
2011,cod.27.24-32,demersal,0.44,119244,F,SSB,50368,NA,3850,2019,NA,NA,108035,96550,NA,NA
2012,cod.27.24-32,demersal,0.6,96551,F,SSB,51225,NA,6795,2019,NA,NA,108035,96550,NA,NA
2013,cod.27.24-32,demersal,0.44,92070,F,SSB,31355,NA,5020,2019,NA,NA,108035,96550,NA,NA
2014,cod.27.24-32,demersal,0.43,100548,F,SSB,28909,NA,9627,2019,NA,NA,108035,96550,NA,NA
2015,cod.27.24-32,demersal,0.42,123082,F,SSB,38079,NA,5970,2019,NA,NA,108035,96550,NA,NA
2016,cod.27.24-32,demersal,0.31,115368,F,SSB,29313,NA,3279,2019,NA,NA,108035,96550,NA,NA
2017,cod.27.24-32,demersal,0.27,97284,F,SSB,25496,NA,3238,2019,NA,NA,108035,96550,NA,NA
2018,cod.27.24-32,demersal,0.21,83754,F,SSB,15907,NA,3103,2019,NA,NA,108035,96550,NA,NA
2019,cod.27.24-32,demersal,NA,66412,F,SSB,NA,NA,NA,2019,NA,NA,108035,96550,NA,NA
1970,dab.27.22-32,benthic,NA,NA,NA,Biomass Index,950,NA,NA,2017,NA,NA,NA,NA,NA,NA
1971,dab.27.22-32,benthic,NA,NA,NA,Biomass Index,1011,NA,NA,2017,NA,NA,NA,NA,NA,NA
1972,dab.27.22-32,benthic,NA,NA,NA,Biomass Index,1235,NA,NA,2017,NA,NA,NA,NA,NA,NA
1973,dab.27.22-32,benthic,NA,NA,NA,Biomass Index,1311,NA,NA,2017,NA,NA,NA,NA,NA,NA
1974,dab.27.22-32,benthic,NA,NA,NA,Biomass Index,1399,NA,NA,2017,NA,NA,NA,NA,NA,NA
1975,dab.27.22-32,benthic,NA,NA,NA,Biomass Index,1530,NA,NA,2017,NA,NA,NA,NA,NA,NA
1976,dab.27.22-32,benthic,NA,NA,NA,Biomass Index,1456,NA,NA,2017,NA,NA,NA,NA,NA,NA
1977,dab.27.22-32,benthic,NA,NA,NA,Biomass Index,1048,NA,NA,2017,NA,NA,NA,NA,NA,NA
1978,dab.27.22-32,benthic,NA,NA,NA,Biomass Index,1144,NA,NA,2017,NA,NA,NA,NA,NA,NA
1979,dab.27.22-32,benthic,NA,NA,NA,Biomass Index,1639,NA,NA,2017,NA,NA,NA,NA,NA,NA
1980,dab.27.22-32,benthic,NA,NA,NA,Biomass Index,1758,NA,NA,2017,NA,NA,NA,NA,NA,NA
1981,dab.27.22-32,benthic,NA,NA,NA,Biomass Index,1865,NA,NA,2017,NA,NA,NA,NA,NA,NA
1982,dab.27.22-32,benthic,NA,NA,NA,Biomass Index,2209,NA,NA,2017,NA,NA,NA,NA,NA,NA
1983,dab.27.22-32,benthic,NA,NA,NA,Biomass Index,2334,NA,NA,2017,NA,NA,NA,NA,NA,NA
1984,dab.27.22-32,benthic,NA,NA,NA,Biomass Index,2132,NA,NA,2017,NA,NA,NA,NA,NA,NA
1985,dab.27.22-32,benthic,NA,NA,NA,Biomass Index,1958,NA,NA,2017,NA,NA,NA,NA,NA,NA
